"term_id","name","count","description"
1457,"ΥΦΑΣΜΑ - ΜΕΤΑΛΛΟ",0,
1467,"ΥΦΑΣΜΑ - ΜΟΡΙΟΣΑΝΙΔΑ ΜΕ ΕΠΕΝΔΥΣΗ ΜΕΛΑΜΙΝΗΣ CARTA",0,
1483,"ΥΦΑΣΜΑ - ΞΥΛΟ",0,
1112,"100% Polyester - Shredded PU Foam Pieces",1,
1150,"420D back side PVC coverd oxford fabric. Water resist",1,
1110,"420D High Quality Fabric-Waterproof-100% Polyester-Filling: Virgin EPS Beads-Professional Use",8,
1104,"600D High Quality Fabric - Waterproof - 100% Polyester - Filling: Virgin EPS Beads",6,
1128,"CHIPBOARD 16mm &amp; 18mm WITH PAPER WOOD",1,
1210,"CLIPBOAND 25mm &amp; 16mm WITH MELAMINE",0,
1194,"CLIPBOARD 15mm WITH MELAMINE METAL",0,
1224,"CLIPBOARD 16mm - 3D PAPER WOOD",0,
1131,"CLIPBOARD 16mm - TOP 25mm WITH 3D PAPER WOOD",4,
1168,"CLIPBOARD 16MM -18MM WITH 3D PAPER WOOD",2,
1143,"CLIPBOARD 16mm &amp; 18mm- 3D PAPER WOOD",2,
1132,"CLIPBOARD 16mm &amp; 2.5cm WITH 3D PAPER WOOD",1,
1144,"CLIPBOARD 16mm &amp; 2.5cm- 3D PAPER WOOD",5,
1133,"CLIPBOARD 16mm &amp; TOP 2.5CM - 3D PAPER WOOD",4,
1153,"CLIPBOARD 16mm &amp; TOP 3CM - 3D PAPER WOOD",4,
1152,"CLIPBOARD 16mm &amp; TOP 3CM WITH 3D PAPER WOOD",3,
1138,"CLIPBOARD 16mm WITH PAPER WOOD",4,
1204,"CLIPBOARD 25mm - 16mm WITH MELAMINE",0,
1213,"CLIPBOARD 25mm WITH MELAMINE",0,
1149,"CLIPBOARD WITH MELAMINE 18mm",0,
1170,"CLIPBOARD WITH MELAMINE 25mm &amp; 20mm",1,
1198,"CLIPBOARD WITH MELAMINE COATING 18MM",0,
1156,"CLIPBORD 16mm &amp; TOP 3CM - 3D PAPER WOOD",2,
1184,"FAABRIC - PP LEGS",0,
1136,"FABRIC",1,
1203,"FABRIC - WOOD - METAL",0,
1190,"FABRIC 100% POLYESTER - PLYWOOD - HARDWOOD",0,
1173,"FABRIC MESH",0,
1186,"FABRIC MESH. Pu",0,
1157,"FABRIC VELVET",2,
1125,"HDPE SURFACE - METALLIC LEGS",5,
1175,"MDF",0,
1188,"MDF &amp; 3D PAPER LAMINATED WOOD 15 MM &amp; 50MM",0,
1187,"MDF &amp; 3D PAPER LAMINATED WOOD 15 MM &amp; 50MM Frame thickness: 1.5 mm Lid thickness: 5 cm",0,
1167,"MDF &amp; 3D PAPER LAMINATED WOOD 16 MM - PU",1,
1164,"MDF &amp; 3D PAPER LAMINATED WOOD 16 MM &amp; 25MM",4,
1160,"MDF &amp; CLIPBOARD 12mm &amp; 15mm WITH PAPER WOOD",4,
1129,"MDF &amp; CLIPBOARD 16mm &amp; 2.5cm WITH PAPER WOOD",4,
1130,"MDF &amp; CLIPBOARD 16mm &amp; 25mm WITH PAPER MELAMINE WOOD",1,
1189,"MDF &amp; CLIPBOARD 16mm &amp; 50mm WITH PAPER WOOD",0,
1178,"MDF 18mm WITH MELAMINE",0,
1171,"MELAMINE",0,
1183,"MELAMINE 16mm &amp; TOP 3CM - 3D PAPER WOOD",0,
