term_id,name,slug,count,description
1231,"ΛΑΔΙ - ΜΟΥΣΤΑΡΔΙ",%ce%bb%ce%b1%ce%b4%ce%b9-%ce%bc%ce%bf%cf%85%cf%83%cf%84%ce%b1%cf%81%ce%b4%ce%b9,0,
1435,"ΛΑΔΙ - ΜΠΕΖ",%ce%bb%ce%b1%ce%b4%ce%b9-%ce%bc%cf%80%ce%b5%ce%b6,0,
1247,"ΛΑΔΙ VOGUE 11",%ce%bb%ce%b1%ce%b4%ce%b9-vogue-11,0,
1542,Λαχανί,%ce%bb%ce%b1%cf%87%ce%b1%ce%bd%ce%af,4,
1558,"Λευκή πατίνα",%ce%bb%ce%b5%cf%85%ce%ba%ce%ae-%cf%80%ce%b1%cf%84%ce%af%ce%bd%ce%b1,6,
1560,"Λευκό antique",%ce%bb%ce%b5%cf%85%ce%ba%cf%8c-antique,3,
1408,ΛΙΛΑ,%ce%bb%ce%b9%ce%bb%ce%b1,0,
1460,"ΛΙΛΑ - ΜΩΒ - ΠΡΑΣΙΝΟ",%ce%bb%ce%b9%ce%bb%ce%b1-%ce%bc%cf%89%ce%b2-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1461,"ΛΙΛΑ - ΠΡΑΣΙΝΟ",%ce%bb%ce%b9%ce%bb%ce%b1-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1377,ΜΑΝΙΤΑΡΙ,%ce%bc%ce%b1%ce%bd%ce%b9%cf%84%ce%b1%cf%81%ce%b9,0,
1187,Μαρμάρινο,marble,193,
1544,"Μαύρο ματ",%ce%bc%ce%b1%cf%8d%cf%81%ce%bf-%ce%bc%ce%b1%cf%84,56,
1361,ΜΕΛΙ,%ce%bc%ce%b5%ce%bb%ce%b9,0,
1343,ΜΕΝΤΑ,%ce%bc%ce%b5%ce%bd%cf%84%ce%b1,0,
1543,Μεταλλικό,%ce%bc%ce%b5%cf%84%ce%b1%ce%bb%ce%bb%ce%b9%ce%ba%cf%8c,0,
1556,Μόκα,%ce%bc%cf%8c%ce%ba%ce%b1,9,
1233,ΜΟΥΣΤΑΡΔΙ,%ce%bc%ce%bf%cf%85%cf%83%cf%84%ce%b1%cf%81%ce%b4%ce%b9,2,
