term_id,name,slug,count,description
1065,"TEAK WOOD",teak-wood,0,
1080,"TEAK WOOD - SYNTHETIC WEAVING",teak-wood-synthetic-weaving,0,
1070,TEAKWOOD,teakwood,0,
1071,"TEAKWOOD - STRAW",teakwood-straw,0,
1072,TEDDY,teddy,0,
1050,"TERRACOTTA CERAMIC",terracotta-ceramic,0,
2567,"Teslin σχοινί",teslin-%cf%83%cf%87%ce%bf%ce%b9%ce%bd%ce%af,1,
2506,"Teslin ύφασμα",teslin-%cf%8d%cf%86%ce%b1%cf%83%ce%bc%ce%b1,3,
1154,"Top panel 25mm MFC - rest 15mm MFC - With locker",top-panel-25mm-mfc-rest-15mm-mfc-with-locker,0,
1153,"Top panel 25mm MFC - Rest are 15mm MFC - MFC door With locker",top-panel-25mm-mfc-rest-are-15mm-mfc-mfc-door-with-locker,0,
1256,"VENEER OAK",veneer-oak,9,
1491,"VENEER OAK - CEMENT",veneer-oak-cement,1,
1502,"VENEER ΚΑΡΥΔΙΑΣ",veneer-%ce%ba%ce%b1%cf%81%cf%85%ce%b4%ce%b9%ce%b1%cf%82,1,
1492,"VENEER ΜΕΛΙΑΣ",veneer-%ce%bc%ce%b5%ce%bb%ce%b9%ce%b1%cf%82,5,
1086,"Water Hyachint",water-hyachint,0,
995,WERZALIT,werzalit,0,
1130,WICKER,wicker,0,
978,WOOD,wood,0,
1024,"WOOD - 100% JUTE",wood-100-jute,0,
984,"WOOD - JUTE",wood-jute,0,
997,"WOOD - MARPLE",wood-marple,0,
1030,"WOOD - SEAGRASS",wood-seagrass,0,
1035,"WOOD ACACIA",wood-acacia,0,
1103,"WOOD ACACIA-MARBLE",wood-acacia-marble,0,
1042,"WOOD CLADO FSC",wood-clado-fsc,0,
990,"WOOD FIR",wood-fir,0,
1020,WOOD-STRAW,wood-straw,0,
989,WOODEN,wooden,0,
1122,"WOWEN COTTON",wowen-cotton,0,
1526,Ακακίας,%ce%b1%ce%ba%ce%b1%ce%ba%ce%af%ce%b1%cf%82,1,
1517,Ακρυλικό,%ce%b1%ce%ba%cf%81%cf%85%ce%bb%ce%b9%ce%ba%cf%8c,2,
1501,"ΑΛΟΥΜΙΝΙΟ - POLYWOOD",%ce%b1%ce%bb%ce%bf%cf%85%ce%bc%ce%b9%ce%bd%ce%b9%ce%bf-polywood,1,
1444,"ΑΛΟΥΜΙΝΙΟ - ΒΕΛΟΥΔΟ",%ce%b1%ce%bb%ce%bf%cf%85%ce%bc%ce%b9%ce%bd%ce%b9%ce%bf-%ce%b2%ce%b5%ce%bb%ce%bf%cf%85%ce%b4%ce%bf,3,
1498,"ΑΛΟΥΜΙΝΙΟ - ΚΕΡΑΜΙΚΟ",%ce%b1%ce%bb%ce%bf%cf%85%ce%bc%ce%b9%ce%bd%ce%b9%ce%bf-%ce%ba%ce%b5%cf%81%ce%b1%ce%bc%ce%b9%ce%ba%ce%bf,3,
1488,"ΑΛΟΥΜΙΝΙΟ - ΜΑΡΜΑΡΟ",%ce%b1%ce%bb%ce%bf%cf%85%ce%bc%ce%b9%ce%bd%ce%b9%ce%bf-%ce%bc%ce%b1%cf%81%ce%bc%ce%b1%cf%81%ce%bf,2,
1447,"ΑΛΟΥΜΙΝΙΟ - ΠΕΤΡΑ",%ce%b1%ce%bb%ce%bf%cf%85%ce%bc%ce%b9%ce%bd%ce%b9%ce%bf-%cf%80%ce%b5%cf%84%cf%81%ce%b1,4,
1351,"ΑΛΟΥΜΙΝΙΟ - ΠΛΑΣΤΙΚΟ",%ce%b1%ce%bb%ce%bf%cf%85%ce%bc%ce%b9%ce%bd%ce%b9%ce%bf-%cf%80%ce%bb%ce%b1%cf%83%cf%84%ce%b9%ce%ba%ce%bf,1,
1496,"ΑΛΟΥΜΙΝΙΟ - ΣΧΟΙΝΙ",%ce%b1%ce%bb%ce%bf%cf%85%ce%bc%ce%b9%ce%bd%ce%b9%ce%bf-%cf%83%cf%87%ce%bf%ce%b9%ce%bd%ce%b9,8,
1236,"ΑΛΟΥΜΙΝΙΟ - ΤΕΧΝΗΤΗ ΠΕΤΡΑ",%ce%b1%ce%bb%ce%bf%cf%85%ce%bc%ce%b9%ce%bd%ce%b9%ce%bf-%cf%84%ce%b5%cf%87%ce%bd%ce%b7%cf%84%ce%b7-%cf%80%ce%b5%cf%84%cf%81%ce%b1,2,
2540,"Απολιθωμένο ξύλο",%ce%b1%cf%80%ce%bf%ce%bb%ce%b9%ce%b8%cf%89%ce%bc%ce%ad%ce%bd%ce%bf-%ce%be%cf%8d%ce%bb%ce%bf,1,
1366,ΑΤΣΑΛΙ,%ce%b1%cf%84%cf%83%ce%b1%ce%bb%ce%b9,15,
1368,"ΑΤΣΑΛΙ - RESIN",%ce%b1%cf%84%cf%83%ce%b1%ce%bb%ce%b9-resin,5,
1367,"ΑΤΣΑΛΙ - ΜΑΡΜΑΡΟ",%ce%b1%cf%84%cf%83%ce%b1%ce%bb%ce%b9-%ce%bc%ce%b1%cf%81%ce%bc%ce%b1%cf%81%ce%bf,5,
2354,Βαμβακερό,%ce%b2%ce%b1%ce%bc%ce%b2%ce%b1%ce%ba%ce%b5%cf%81%cf%8c,30,
1281,ΒΑΜΒΑΚΙ,%ce%b2%ce%b1%ce%bc%ce%b2%ce%b1%ce%ba%ce%b9,59,
1433,"ΒΑΜΒΑΚΙ - ΒΕΛΟΥΔΟ",%ce%b2%ce%b1%ce%bc%ce%b2%ce%b1%ce%ba%ce%b9-%ce%b2%ce%b5%ce%bb%ce%bf%cf%85%ce%b4%ce%bf,18,
1431,"ΒΑΜΒΑΚΙ - ΒΙΣΚΟΖΗ",%ce%b2%ce%b1%ce%bc%ce%b2%ce%b1%ce%ba%ce%b9-%ce%b2%ce%b9%cf%83%ce%ba%ce%bf%ce%b6%ce%b7,23,
1296,"ΒΑΜΒΑΚΙ - ΓΙΟΥΤΑ",%ce%b2%ce%b1%ce%bc%ce%b2%ce%b1%ce%ba%ce%b9-%ce%b3%ce%b9%ce%bf%cf%85%cf%84%ce%b1,0,
1448,"ΒΑΜΒΑΚΙ - ΛΙΝΟ",%ce%b2%ce%b1%ce%bc%ce%b2%ce%b1%ce%ba%ce%b9-%ce%bb%ce%b9%ce%bd%ce%bf,1,
1192,ΒΑΜΒΟΟ,%ce%b2%ce%b1%ce%bc%ce%b2%ce%bf%ce%bf,0,
1485,"ΒΕΛΟΥΔΟ - ΠΛΑΣΤΙΚΟ",%ce%b2%ce%b5%ce%bb%ce%bf%cf%85%ce%b4%ce%bf-%cf%80%ce%bb%ce%b1%cf%83%cf%84%ce%b9%ce%ba%ce%bf,3,
1223,ΓΙΟΥΤΑ,%ce%b3%ce%b9%ce%bf%cf%85%cf%84%ce%b1,0,
1295,"ΓΙΟΥΤΑ - ΒΑΜΒΑΚΙ",%ce%b3%ce%b9%ce%bf%cf%85%cf%84%ce%b1-%ce%b2%ce%b1%ce%bc%ce%b2%ce%b1%ce%ba%ce%b9,0,
1521,Γούνα,%ce%b3%ce%bf%cf%8d%ce%bd%ce%b1,0,
1313,ΔΕΡΜΑ,%ce%b4%ce%b5%cf%81%ce%bc%ce%b1,26,
